map01100 Metabolic pathways (2020)

  ko:K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
  ko:K00122 FDH; formate dehydrogenase [EC:1.17.1.9]
  ko:K00123 fdoG; formate dehydrogenase major subunit [EC:1.17.1.9]
  ko:K00124 fdoH; formate dehydrogenase iron-sulfur subunit
  ko:K00125 fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
  ko:K00126 fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
  ko:K00127 fdoI; formate dehydrogenase subunit gamma
  ko:K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
  ko:K00129 ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
  ko:K00130 betB; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
  ko:K00131 gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
  ko:K00132 E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
  ko:K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
  ko:K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
  ko:K00135 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
  ko:K00137 prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
  ko:K00138 aldB; aldehyde dehydrogenase [EC:1.2.1.-]
  ko:K00140 mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
  ko:K00141 xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
  ko:K00145 argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
  ko:K00146 feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
  ko:K00147 proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
  ko:K00148 fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
  ko:K00150 gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
  ko:K00151 hpaE; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
  ko:K00152 nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65]
  ko:K00156 poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
  ko:K00158 E1.2.3.3; pyruvate oxidase [EC:1.2.3.3]
  ko:K00161 PDHA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
  ko:K00162 PDHB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
  ko:K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
  ko:K00164 OGDH; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
  ko:K00166 BCKDHA; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
  ko:K00167 BCKDHB; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
  ko:K00169 porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
  ko:K00170 porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
  ko:K00171 porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
  ko:K00172 porC; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
  ko:K00174 korA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
